"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
">=200 DM",18.0,"no previous credits or paid back","items of furniture",1505.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","ownership of house or land",32.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","used car",1262.0,"greater than 1000 DM","greater than 7 years","between 25 and 35","male:divorced/living apart","none","greater than 7 years","car/other",49.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","yes","yes","good"
">=200 DM",24.0,"no previous credits or paid back","items of furniture",1901.0,"less than 100 DM","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",29.0,"no further running credits","free apartment","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no running account",30.0,"no previous credits or paid back","used car",2406.0,"no savings","between 4 and 7 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",23.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",18.0,"paid back previous credits at this bank","items of furniture",2404.0,"no savings","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",26.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",18.0,"no problems with current credits at this bank","items of furniture",2320.0,"no savings","unemployed","between 25 and 35","male:married/widowed","none","between 4 and 7 years","no assets",34.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",12.0,"paid back previous credits at this bank","used car",2246.0,"no savings","greater than 7 years","between 20 and 25","male:single","none","between 4 and 7 years","car/other",60.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",36.0,"paid back previous credits at this bank","used car",7127.0,"no savings","less than 1 year","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","car/other",23.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
">=200 DM",15.0,"no previous credits or paid back","used car",2221.0,"between 100 and 500 DM","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",20.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"<= 200 DM",12.0,"problematic running accounts","retraining",609.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","less than 1 year","no assets",26.0,"at other banks","rented","one","unemployed/unskilled with no permaant residence","3 and more","no","yes","bad"
">=200 DM",48.0,"paid back previous credits at this bank","retraining",7629.0,"greater than 1000 DM","greater than 7 years","less than 20","male:divorced/living apart","none","between 1 and 4 years","savings contract with a building society/Life insurance",46.0,"at other banks","rented","2 or 3","executive/self-employed/higher civil servant","0 to 2","no","yes","good"
"no running account",15.0,"paid back previous credits at this bank","used car",1478.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",44.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","retraining",1412.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","guarantor","between 1 and 4 years","no assets",29.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",27.0,"no problems with current credits at this bank","retraining",5117.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",26.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",24.0,"no previous credits or paid back","items of furniture",1282.0,"less than 100 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",32.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
"no balance",9.0,"no previous credits or paid back","items of furniture",1082.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",37.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",9.0,"no previous credits or paid back","retraining",1391.0,"no savings","between 1 and 4 years","between 25 and 35","male:married/widowed","none","less than 1 year","no assets",27.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",24.0,"paid back previous credits at this bank","items of furniture",1516.0,"between 500 and 1000 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","less than 1 year","no assets",43.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",24.0,"no previous credits or paid back","other",1371.0,"greater than 1000 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",25.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",24.0,"no previous credits or paid back","new car",7814.0,"no savings","between 4 and 7 years","between 20 and 25","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",38.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"<= 200 DM",9.0,"no previous credits or paid back","items of furniture",1126.0,"less than 100 DM","greater than 7 years","between 25 and 35","male:divorced/living apart","none","greater than 7 years","no assets",49.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
